Animal_ID,Breed,Age,Weight,Lactation_Stage,Parity,Feed_Type,Feed_Quantity,Protein_Content,Walking_Distance,Grazing_Duration,Rumination_Time,Rest_Hours,Body_Temperature,Heart_Rate,Vaccination_Status,Temperature,Humidity,Season,Housing_Quality,Milk_Yield,Disease_Label
CATTLE_1000,Holstein,27,474.83570765056163,Mid,4,Dry Fodder,14.585207096486446,15.295377076201385,3.5230298564080256,3.648769937914996,6.765863043050819,13.158425631014783,40.5,55.365823071875376,Vaccinated,28.837173645764544,52.95788421097572,Summer,Poor,15.4,Mastitis
CATTLE_1001,Sahiwal,35,462.0981135783017,Dry,7,Green Fodder,9.260159266026607,10.550164334973935,1.4377124707590272,2.480753319498364,7.314247332595274,8.183951848957578,40.5,60.67528204687924,Vaccinated,17.938481493323543,81.98473153382331,Winter,Well Ventilated,0.45,Mastitis
CATTLE_1002,Jersey,88,422.78086377374086,Dry,1,Concentrates,15.332767769129598,11.698012845155395,2.375698018345672,3.0990419651217924,6.708306250206723,8.796586775541206,40.5,68.22544912103189,Overdue,34.26139092254469,59.79754162893099,Summer,Poor,1.91,Mastitis
CATTLE_1003,Sahiwal,77,460.4431797502378,Peak,8,Concentrates,9.120989628360674,11.343627902203139,2.1968612358691235,5.107699869993116,7.17136828118997,9.76870343522352,40.5,55.393612290402125,Vaccinated,23.494481522053555,37.82217014448859,Monsoon,Well Ventilated,10.95,Mastitis
CATTLE_1004,Gir,67,467.18091447842306,Mid,3,Dry Fodder,9.710879533911799,14.648167938789591,1.6149177195836835,2.984616999541062,7.611676288840868,12.061999044991902,40.5,63.31263431403564,Vaccinated,29.656400595580994,47.41173715166042,Monsoon,Well Ventilated,9.17,Mastitis
CATTLE_1005,Gir,36,426.0412881077355,Mid,6,Concentrates,14.443023070008548,11.787330051987944,0.8037933759193292,5.218788733591297,3.0,9.855979756839332,38.17744012269744,63.61395605508414,Overdue,30.01766448946012,65.42454037571451,Monsoon,Well Ventilated,12.5,Digestive Disorder
CATTLE_1006,Gir,92,448.2086980445024,Early,7,Green Fodder,19.693930967442018,8.76050979182051,2.821902504375224,4.130570602357257,3.0,10.183521553071005,38.678556285755874,74.77894044741517,Overdue,15.062155426995536,56.70492168243732,Monsoon,Poor,10.46,Digestive Disorder
CATTLE_1007,Murrah Buffalo,97,409.57531985534064,Peak,2,Green Fodder,13.49472886924639,15.830804235404148,2.3287511096596845,3.2053596943494416,3.0,10.194155098696081,38.33616892670111,56.078918468678424,Vaccinated,29.843224952664446,49.469203591839715,Summer,Average,11.04,Digestive Disorder
CATTLE_1008,Jersey,36,464.8060138532288,Late,5,Silage,15.783165816539668,14.010226913284923,1.7654128666248532,1.8769438869243786,3.0,9.31457096694646,38.70202542840727,78.8618590121053,Pending,20.988613653891903,57.580714325009865,Monsoon,Well Ventilated,16.32,Digestive Disorder
CATTLE_1009,Murrah Buffalo,50,462.8775195361382,Mid,2,Concentrates,14.776662252701499,10.162457569401917,1.973486124550783,4.09034531491154,3.0,9.615278070437755,37.915660981190236,71.4282281451502,Overdue,26.507736711668063,59.47932345442135,Summer,Poor,12.78,Digestive Disorder
CATTLE_1010,Jersey,44,489.5515973521523,Late,7,Mixed Ration,12.271837635615784,16.805588621872197,0.5981489372077191,4.880285640700405,9.190455625809978,8.018927349738624,38.2482621729419,44.493365689338674,Pending,38.0,85.0,Summer,Poor,17.88,Heat Stress
CATTLE_1011,Holstein,53,396.88481431369473,Early,6,Silage,16.420777291905544,12.161151531532393,3.5499344050175394,2.825120061495644,6.677938483794325,11.62703443473934,39.15357137714121,43.92516765438772,Vaccinated,38.0,85.0,Monsoon,Well Ventilated,24.23,Heat Stress
CATTLE_1012,Sahiwal,115,462.9941397124212,Mid,4,Silage,17.34546861533193,11.526098578243836,0.6795433869157237,4.782912348425347,7.296984673233186,10.500985700691754,38.6161268485805,62.93072473298681,Pending,38.0,85.0,Spring,Poor,11.13,Heat Stress
